date,subways_total_estimated_ridership,subways_of_comparable_pre_pandemic_day,buses_total_estimated_ridersip,buses_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_of_comparable_pre_pandemic_day
2023-02-08T00:00:00.000,3780682,0.70,1513135,0.70,197370,0.65,180852,0.67,29653,1.01,884755,1.00,7647,0.47
2023-02-09T00:00:00.000,3754859,0.69,1462622,0.68,193326,0.64,172507,0.64,28515,0.97,909007,1.03,7403,0.46
2023-02-10T00:00:00.000,3539529,0.65,1422781,0.66,179637,0.59,154760,0.57,28094,0.95,947991,1.07,6477,0.40
2023-02-11T00:00:00.000,2333625,0.81,865782,0.68,94434,1.01,88281,0.67,16638,1.02,865505,1.04,1615,0.38
2023-02-12T00:00:00.000,1746099,0.80,659496,0.68,67457,0.86,63383,0.69,16305,0.97,749533,0.99,1227,0.44
2023-02-13T00:00:00.000,3303337,0.61,1381524,0.64,180002,0.59,159741,0.59,25900,0.88,854394,0.97,6188,0.38
2023-02-14T00:00:00.000,3812943,0.70,1480867,0.69,200327,0.66,179811,0.67,29001,0.99,897813,1.02,7557,0.47
2023-02-15T00:00:00.000,3762817,0.69,1499155,0.70,197344,0.65,181992,0.68,29119,0.99,904926,1.02,7491,0.46
2023-02-16T00:00:00.000,3683782,0.68,1461093,0.68,189802,0.63,172189,0.64,28364,0.96,915758,1.04,7318,0.45
2023-02-17T00:00:00.000,3253165,0.60,1315466,0.61,172113,0.57,150151,0.56,26759,0.91,936689,1.06,5892,0.36
2023-02-18T00:00:00.000,2271106,0.79,822505,0.65,91478,0.98,93213,0.71,15612,0.96,860646,1.03,1266,0.30
2023-02-19T00:00:00.000,1824136,0.83,639980,0.66,75448,0.97,75064,0.82,16165,0.96,784650,1.04,959,0.34
2023-02-20T00:00:00.000,2238557,1.02,929439,0.95,90371,1.16,79984,0.88,14818,0.88,809578,1.07,1547,0.55
2023-02-21T00:00:00.000,3325542,0.61,1273578,0.59,194967,0.64,174283,0.65,27224,0.93,864047,0.98,6525,0.40
2023-02-22T00:00:00.000,3454362,0.64,1305744,0.61,193753,0.64,171187,0.64,27895,0.95,869960,0.98,6538,0.40
2023-02-23T00:00:00.000,3498367,0.64,1328927,0.62,188438,0.62,167193,0.62,27336,0.93,906322,1.03,6695,0.41
2023-02-24T00:00:00.000,3246699,0.60,1246797,0.58,179793,0.59,153058,0.57,26077,0.89,928057,1.05,5551,0.34
2023-02-25T00:00:00.000,2043635,0.71,800947,0.63,86403,0.92,81742,0.62,15461,0.95,831613,1.00,1396,0.33
2023-02-26T00:00:00.000,1625191,0.74,676041,0.69,74226,0.95,67702,0.74,15891,0.94,807475,1.07,1095,0.39
2023-02-27T00:00:00.000,3337916,0.62,1423292,0.66,180277,0.60,160346,0.60,26730,0.91,854625,0.97,6752,0.42
2023-02-28T00:00:00.000,3412079,0.63,1349173,0.63,177532,0.59,139326,0.52,26116,0.89,751643,0.85,6690,0.41
2023-03-01T00:00:00.000,3780713,0.68,1511792,0.67,192142,0.61,176661,0.64,29449,0.99,901530,0.98,7403,0.46
