date,subways_total_estimated_ridership_x,subways_total_estimated_ridership_y
2021-03-30,1881537,1273729
2021-03-31,1808546,2668642
2021-04-01,1841815,2912007
2021-04-02,1757698,3064841
2021-04-03,1318461,3198885
2021-04-04,950194,2440211
2021-04-05,1818703,1934651
2021-04-06,1942198,1648734
2021-04-07,1985370,3290639
2021-04-08,2013413,3555082
2021-04-09,2026724,3560703
2021-04-10,1391245,3263064
2021-04-11,899646,1942458
2021-04-12,1845836,1472438
2021-04-13,2012153,3303727
2021-04-14,2018126,3353192
2021-04-15,1906733,3557166
2021-04-16,2078856,3688916
2021-04-17,1425036,3365791
2021-04-18,1082503,2167383
2021-04-19,1911326,1743556
2021-04-20,2082495,2169917
2021-04-21,1965922,3235935
2021-04-22,2040232,3616923
2021-04-23,2121350,3655850
2021-04-24,1520057,3176408
2021-04-25,985027,2024041
2021-04-26,1955370,1576126
2021-04-27,2041698,3305387
2021-04-28,2135793,3652488
2021-04-29,2028524,3666907
2021-04-30,2159476,3681867
2021-05-01,1515211,3380816
2021-05-02,1153471,2283244
2021-05-03,1971010,1549077
2021-05-04,2120071,3297571
2021-05-05,2074543,3717520
2021-05-06,2199943,3808584
2021-05-07,2238033,3814682
2021-05-08,1444674,3457807
2021-05-09,1107878,2324038
2021-05-10,1990039,1742107
2021-05-11,2148322,3481777
2021-05-12,2182277,3857533
2021-05-13,2163052,3900992
2021-05-14,2266974,3903673
2021-05-15,1637231,3547321
2021-05-16,1201904,2385448
2021-05-17,2022584,1774698
2021-05-18,2150049,3374596
2021-05-19,2257549,2273584
2021-05-20,2269471,3963628
2021-05-21,2331876,3874860
2021-05-22,1645268,3504536
2021-05-23,1268928,2178047
2021-05-24,2118877,1850840
2021-05-25,2270945,2244741
2021-05-26,2275882,3490990
2021-05-27,2352019,3591484
2021-05-28,2232599,3588173
2021-05-29,1370135,3219121
2021-05-30,1065176,2308808
2021-05-31,1389651,1740477
2021-06-01,2258831,3439079
2021-06-02,2343745,3802458
2021-06-03,2233917,3784177
2021-06-04,2310032,3905888
2021-06-05,1792204,3573658
2021-06-06,1363344,2094029
2021-06-07,2223265,1961510
2021-06-08,2265591,3539671
2021-06-09,2386026,3819514
2021-06-10,2473818,3865589
2021-06-11,2468258,3893731
2021-06-12,1775538,3685219
2021-06-13,1379959,2128635
2021-06-14,2223186,1803578
2021-06-15,2469785,3497588
2021-06-16,2519444,3988438
2021-06-17,2552497,4024943
2021-06-18,2572013,4049186
2021-06-19,1784312,3643013
2021-06-20,1389352,2553056
2021-06-21,2264368,1972170
2021-06-22,2354873,3482565
2021-06-23,2547416,3869116
2021-06-24,2552639,3886104
2021-06-25,2582713,3862248
2021-06-26,1854179,3581959
2021-06-27,1559967,1863863
2021-06-28,2252362,1912946
2021-06-29,2343739,3583716
2021-06-30,2346388,3969793
2021-07-01,2292461,4014011
2021-07-02,2296044,3910547
2021-07-03,1541988,3372535
2021-07-04,1468510,2526569
2021-07-05,1495709,1936295
2021-07-06,2302002,3321989
2021-07-07,2437064,3900061
2021-07-08,2364250,3890305
2021-07-09,2318387,4100733
2021-07-10,1781717,3800800
2021-07-11,1365854,2477127
2021-07-12,2245412,1899641
2021-07-13,2457526,3506719
2021-07-14,2517615,4042674
2021-07-15,2581582,3791945
2021-07-16,2536569,4000485
2021-07-17,1717480,3668439
2021-07-18,1405344,2535112
2021-07-19,2327756,2068885
2021-07-20,2462002,3704177
2021-07-21,2504568,4033514
2021-07-22,2582151,4021256
2021-07-23,2552330,3966226
2021-07-24,1852402,3705782
2021-07-25,1364830,2537525
2021-07-26,2318455,1918237
2021-07-27,2487947,3219677
2021-07-28,2534756,3522218
2021-07-29,2428764,3608010
2021-07-30,2557677,3723894
2021-07-31,1841007,3431590
2021-08-01,1351294,2506779
2021-08-02,2333923,2084950
2021-08-03,2483802,3323706
2021-08-04,2529002,3638986
2021-08-05,2529190,4032791
2021-08-06,2519444,4061242
2021-08-07,1780458,3780888
2021-08-08,1333885,2563658
2021-08-09,2289434,1889174
2021-08-10,2442194,3652105
2021-08-11,2475949,4098321
2021-08-12,2448589,4087477
2021-08-13,2430102,4086528
2021-08-14,1718222,3677268
2021-08-15,1430620,2648580
2021-08-16,2287627,1858872
2021-08-17,2427611,3703066
2021-08-18,2445638,4116655
2021-08-19,2439624,4114615
2021-08-20,2456334,4105026
2021-08-21,1715030,3816914
2021-08-22,745240,2691368
2021-08-23,2052669,2121485
2021-08-24,2462365,3682061
2021-08-25,2498255,4029557
2021-08-26,2480137,4104021
2021-08-27,2388210,3863099
2021-08-28,1659434,3583244
2021-08-29,1398566,2347159
2021-08-30,2321000,2019012
2021-08-31,2532584,1667890
2021-09-01,2294448,3825781
2021-09-02,1661558,4006764
2021-09-03,2390392,3979959
2021-09-04,1777639,3688627
2021-09-05,1415352,2446153
2021-09-06,1521388,1978037
2021-09-07,2233674,3611491
2021-09-08,2529619,3979793
2021-09-09,2702713,4051943
2021-09-10,2840443,3774324
2021-09-11,1983091,3752412
2021-09-12,1589976,2673220
2021-09-13,2852796,2134551
2021-09-14,3011275,3702212
2021-09-15,2987334,3995425
2021-09-16,2534545,3977760
2021-09-17,3028545,3936941
2021-09-18,2014848,3517062
2021-09-19,1596823,2431810
2021-09-20,2883211,1897201
2021-09-21,3018312,3325104
2021-09-22,3021113,3920839
2021-09-23,3016106,3046320
2021-09-24,3121747,3857797
2021-09-25,2129492,3500365
2021-09-26,1614677,2385207
2021-09-27,2873368,1908786
2021-09-28,2927715,3467845
2021-09-29,3063720,3831447
2021-09-30,3146861,3901100
2021-10-01,3162881,3776811
2021-10-02,2063660,3522732
2021-10-03,1575738,2454997
2021-10-04,2864349,2002269
2021-10-05,3091160,3273546
2021-10-06,3140986,3542073
2021-10-07,3190747,3409357
2021-10-08,3168473,1992244
2021-10-09,2052699,2700734
2021-10-10,1499385,2100877
2021-10-11,2263615,1804572
2021-10-12,3102879,3228784
2021-10-13,3157457,3605032
2021-10-14,3240686,3691835
2021-10-15,3227068,3688029
2021-10-16,2042027,3261074
2021-10-17,1629991,2203283
2021-10-18,2982883,1869670
2021-10-19,3178208,3259800
2021-10-20,3234327,3594150
2021-10-21,3267697,3651756
2021-10-22,3225816,3637826
2021-10-23,2077488,3372874
2021-10-24,1599927,2269647
2021-10-25,2994936,1877704
2021-10-26,2702635,3235343
2021-10-27,3300580,3606656
2021-10-28,3365971,3656472
2021-10-29,3251779,3638351
2021-10-30,2044310,3288849
2021-10-31,1746769,2306948
2021-11-01,3034306,1851383
2021-11-02,2848222,3202281
2021-11-03,3293732,3590241
2021-11-04,3284315,3576343
2021-11-05,3293438,3544663
2021-11-06,2195864,3153955
2021-11-07,1888985,2200373
2021-11-08,3065533,1752861
2021-11-09,3279457,3222601
2021-11-10,3351992,3462581
2021-11-11,2922235,3511253
2021-11-12,3158682,3490217
2021-11-13,2169863,3041276
2021-11-14,1703136,2356405
2021-11-15,3110969,1918748
2021-11-16,3340844,3169180
2021-11-17,3369069,3491612
2021-11-18,3412249,3544668
2021-11-19,3316999,3495671
2021-11-20,2135731,3198733
2021-11-21,1674206,2256233
2021-11-22,3130363,1713050
2021-11-23,3286591,3076559
2021-11-24,3085289,3475888
2021-11-25,1357198,3498651
2021-11-26,2089772,3427911
2021-11-27,1880422,3209666
2021-11-28,1465745,2332624
2021-11-29,2996015,1905818
2021-11-30,3207209,3113498
2021-12-01,3326469,3477101
2021-12-02,3358843,3516674
2021-12-03,3374097,3438760
2021-12-04,2318147,3152242
2021-12-05,1737352,2158004
2021-12-06,3135869,1969350
2021-12-07,3367790,2007446
2021-12-08,3378727,3629404
2021-12-09,3433600,3868854
2021-12-10,3417451,4033322
2021-12-11,2266265,3794952
2021-12-12,1829872,2479639
2021-12-13,3120850,2101048
2021-12-14,3274170,3811344
2021-12-15,3242168,4182405
2021-12-16,3219799,4214707
2021-12-17,3112088,4232214
2021-12-18,1880969,3911412
2021-12-19,1579809,2706474
2021-12-20,2716451,2161737
2021-12-21,2697325,3821428
2021-12-22,2634565,4189311
2021-12-23,2486489,4232888
2021-12-24,1575449,4255184
2021-12-25,810937,3933048
2021-12-26,1284738,2744632
2021-12-27,2007649,2131910
2021-12-28,2168419,3898806
2021-12-29,2167077,4323708
2021-12-30,2198415,4335945
2021-12-31,1627589,4295723
2022-01-01,1027918,3945383
2022-01-02,1219735,2557982
2022-01-03,2168229,1959363
2022-01-04,2289352,3849138
2022-01-05,2267942,4179363
2022-01-06,2391176,4068073
2022-01-07,2121941,3627528
2022-01-08,1486065,3506654
2022-01-09,1102472,2710146
2022-01-10,2347323,2065294
2022-01-11,2266378,3847055
2022-01-12,2459224,4256950
2022-01-13,2524197,4313211
2022-01-14,2522972,4329161
2022-01-15,1434676,3868564
2022-01-16,1165626,2587128
2022-01-17,1600048,2153429
2022-01-18,2541044,3066851
2022-01-19,2642129,4284818
2022-01-20,2545486,4357117
2022-01-21,2565781,4309633
2022-01-22,1583650,4030998
2022-01-23,1245716,2752350
2022-01-24,2536827,2176476
2022-01-25,2701246,3842315
2022-01-26,2711803,4218881
2022-01-27,2724979,4276606
2022-01-28,2703403,4304831
2022-01-29,999347,4019790
2022-01-30,1262477,2828539
2022-01-31,2575762,2208683
2022-02-01,2635083,3983168
2022-02-02,2940152,4378791
2022-02-03,2914198,4417951
2022-02-04,2725725,4340272
2022-02-05,1792780,3780874
2022-02-06,1323892,2817106
2022-02-07,2784230,2602870
2022-02-08,3016648,3949699
2022-02-09,3088775,3640246
2022-02-10,3112489,4113411
2022-02-11,3015472,4232190
2022-02-12,2026308,3971878
2022-02-13,1349864,2770474
2022-02-14,2907825,2117144
2022-02-15,3030742,3277617
2022-02-16,3100639,4263199
2022-02-17,3109956,4331024
2022-02-18,2953785,4296568
2022-02-19,1792136,3986526
2022-02-20,1477125,2789132
2022-02-21,1942267,2101806
2022-02-22,2669508,3900958
2022-02-23,2894245,4277932
2022-02-24,2858146,4298945
2022-02-25,2575630,4217744
2022-02-26,1824833,3854860
2022-02-27,1403227,2720244
2022-02-28,2915786,2075015
2022-03-01,3138181,3914213
2022-03-02,3208166,4030009
2022-03-03,3207495,3710430
2022-03-04,3077537,1513447
2022-03-05,1955535,2677499
2022-03-06,1444501,2319981
2022-03-07,2980920,1893492
2022-03-08,3244473,3813795
2022-03-09,3113559,4240442
2022-03-10,3339363,4374883
2022-03-11,3195956,4354863
2022-03-12,1663893,4121085
2022-03-13,1479406,3017208
2022-03-14,3008800,2348950
2022-03-15,3275906,3941361
2022-03-16,3332335,4374063
2022-03-17,3175784,4255328
2022-03-18,3275433,4527892
2022-03-19,2001839,4178812
2022-03-20,1656673,3123454
2022-03-21,3034759,2337436
2022-03-22,3276940,3866550
2022-03-23,3275708,4341385
2022-03-24,3212181,4292792
2022-03-25,3218970,4255466
2022-03-26,2024596,3842344
2022-03-27,1534056,2645323
2022-03-28,2989874,2061173
2022-03-29,3291883,3216875
2022-03-30,3336073,2546394
2022-03-31,3323135,1378374
2022-04-01,3237107,2852679
2022-04-02,2128435,3161486
2022-04-03,1463932,2268511
2022-04-04,3127667,2122102
2022-04-05,3356454,3315993
2022-04-06,3311547,2874096
2022-04-07,3307076,1779352
2022-04-08,3347754,3376924
2022-04-09,2190396,3413021
2022-04-10,1707748,2315493
2022-04-11,3205728,1791020
2022-04-12,3078069,3436491
2022-04-13,3220964,3781536
2022-04-14,3297697,3830616
2022-04-15,2761532,3734383
